Type,B_V_mag,V_K_mag,T_eff_K,e_T_eff_K
A0,0,-0.04,9394,44
A1,-0.01,-0.03,9121,71
A2,0.12,0.27,7965,24
A3,0.1,0.1,8176,12
A4,0.09,0.19,8459,44
A5,0.12,0.29,7889,60
A7,0.21,0.51,7734,80
F0,0.3,0.79,6850,28
F2,0.41,1.04,6457,11
F3,0.37,0.98,6435,50
F5,0.44,1.14,6277,45
F6,0.49,1.24,6194,17
F7,0.5,1.18,6306,19
F8,0.54,1.25,6026,32
F9,0.57,1.4,5919,24
G0,0.61,1.46,5790,23
G1,0.63,1.43,5767,9
G2,0.67,1.6,5555,40
G3,0.69,1.58,5608,17
G4,0.66,1.53,5619,44
G5,0.68,1.57,5678,8
G7,0.74,1.81,5472,30
G8,0.77,1.77,5322,27
G9,0.82,1.93,5013,62
K0,0.79,1.87,5347,20
K1,0.82,2.02,5147,14
K2,0.88,2.12,5013,14
K3,0.98,2.36,4680,15
K4,1.1,2.63,4507,58
K5,1.11,2.76,4436,74
K7,1.35,3.41,3961,11
M0,1.41,3.55,3907,35
M0.5,1.47,3.97,3684,9
M1,1.55,4.01,3497,39
M1.5,1.49,4.07,3674,10
M2,1.51,4.14,3464,15
M2.5,1.61,4.75,3442,54
M3,1.52,4.54,3412,19
M3.5,1.59,4.71,3104,28
M4,1.73,5.04,3222,10
M5.5,1.97,6.68,3054,79
